occurrenceID,eventID,basisOfRecord,verbatimIdentification,kingdom,phylum,class,order,family,genus,scientificName,scientificNameID,taxonRank,parentEventID,datasetID,license,institutionID,occurrenceStatus,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,recordedBy,materialSampleID,eventDate,minimumDepthInMeters,maximumDepthInMeters,locality,decimalLatitude,decimalLongitude,geodeticDatum,identificationRemarks
GU190706-CTD11-220_MiFish_S30_occ_d18090749dc47011111f31aaa8416190,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani,Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Maurolicus,Maurolicus weitzmani,urn:lsid:marinespecies.org:taxname:158838,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,244495,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_d363773b2f148e6c1879ea1820a94d02,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana,Animalia,Chordata,Teleostei,Scombriformes,Gempylidae,Neoepinnula,Neoepinnula americana,urn:lsid:marinespecies.org:taxname:159712,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,110,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_db1228572f45a08078f458e56828f0e8,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Lepidopus,Lepidopus altifrons,urn:lsid:marinespecies.org:taxname:159367,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,8,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_ef013f220fad2df535a552bafc0af679,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Auxis,Auxis,urn:lsid:marinespecies.org:taxname:126057,Genus,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,4537,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_183bc18f3e5eac45c6dd248fb86d64bf,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus laevigatus,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Lagocephalus,Lagocephalus laevigatus,urn:lsid:marinespecies.org:taxname:158933,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,8,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_1cafd52d7b4ed7a4f80f2449577f47f4,GU190707-CTD13-310_MiFish_S31,MaterialSample,Bacteria,Bacteria,,,,,,Bacteria,urn:lsid:marinespecies.org:taxname:6,Kingdom,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,4,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_221cebf8d14311e38ea450f11c20a829,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,Diaphus dumerilii,urn:lsid:marinespecies.org:taxname:126590,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,81360,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_27ce4ef8aab0e2029cd272404006e061,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Auxis,Auxis rochei,urn:lsid:marinespecies.org:taxname:127015,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,270,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_3b6cd5378a0dcaefbbdf70f0408619c5,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Auxis,Auxis rochei,urn:lsid:marinespecies.org:taxname:127015,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,22272,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_475e0e642a0343085715a6c07ff5824e,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Bramidae;Brama,Animalia,Chordata,Teleostei,Scombriformes,Bramidae,Brama,Brama,urn:lsid:marinespecies.org:taxname:125924,Genus,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,25,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_4b901b8f53750cf25d659e5832ac6da2,GU190707-CTD13-310_MiFish_S31,MaterialSample,Bacteria,Bacteria,,,,,,Bacteria,urn:lsid:marinespecies.org:taxname:6,Kingdom,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,92,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_534e20c917378ae809aeb4dcf84ba834,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,Diaphus dumerilii,urn:lsid:marinespecies.org:taxname:126590,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,6735,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_62131db008a1791277e2808215ecafee,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Auxis,Auxis,urn:lsid:marinespecies.org:taxname:126057,Genus,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,12,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_7f33c23b1e34240e66bf346182bee281,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Auxis,Auxis rochei,urn:lsid:marinespecies.org:taxname:127015,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,306,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_82b9e863319e3aaee8e524e807f0e38a,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Bramidae;Brama,Animalia,Chordata,Teleostei,Scombriformes,Bramidae,Brama,Brama,urn:lsid:marinespecies.org:taxname:125924,Genus,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,72,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_87fc62ed809caa00b26b8cbf9255c7ac,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Animalia,Chordata,Teleostei,Acanthuriformes,Antigoniidae,Antigonia,Antigonia capros,urn:lsid:marinespecies.org:taxname:127418,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,5,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_8f9c2606f5bb5a4867a22ec20c3f7067,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Benthodesmus,Benthodesmus,urn:lsid:marinespecies.org:taxname:126096,Genus,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,14814,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_a300083fd8228af5d19b242f26ecc137,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Pontinus,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Pontinus,Pontinus,urn:lsid:marinespecies.org:taxname:126170,Genus,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,17,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_a4292d904b3e1c369e281163d25322ae,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus,Animalia,Chordata,Teleostei,Acropomatiformes,Synagropidae,Parascombrops,Parascombrops spinosus,urn:lsid:marinespecies.org:taxname:1486846,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,10,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_b68f74d98fd55d8b093dde9b4b2ed6e1,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Lopholatilus;Lopholatilus chamaeleonticeps,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Lopholatilus,Lopholatilus chamaeleonticeps,urn:lsid:marinespecies.org:taxname:159406,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,14,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_bbb8565c72ab822267bd387cbb87ab70,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,Diaphus dumerilii,urn:lsid:marinespecies.org:taxname:126590,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,8097,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_d18090749dc47011111f31aaa8416190,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani,Animalia,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Maurolicus,Maurolicus weitzmani,urn:lsid:marinespecies.org:taxname:158838,Species,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,260,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190707-CTD13-310_MiFish_S31_occ_d43f4f80cc4da7f9121a46004ca73e62,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,,Ophidiidae,urn:lsid:marinespecies.org:taxname:125505,Family,GU190707-CTD13-310,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,2,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,28.501,-85.94,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
