occurrenceID,eventID,basisOfRecord,verbatimIdentification,kingdom,phylum,class,order,family,genus,scientificName,taxonID,taxonRank,parentEventID,datasetID,license,institutionID,waterBody,occurrenceStatus,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,recordedBy,materialSampleID,eventDate,minimumDepthInMeters,maximumDepthInMeters,locality,decimalLatitude,decimalLongitude,geodeticDatum,identificationRemarks,associatedSequences
GU190706-CTD11-220_MiFish_S30_occ_d18090749dc47011111f31aaa8416190,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani,Animalia,Chordata,,Stomiiformes,Sternoptychidae,Maurolicus,"Maurolicus weitzmani Parin & Kobyliansky, 1993",gbif:2347496,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,244495,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_d363773b2f148e6c1879ea1820a94d02,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana,Animalia,Chordata,,Perciformes,Gempylidae,Neoepinnula,"Neoepinnula americana (Grey, 1953)",gbif:2397763,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,110,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_db1228572f45a08078f458e56828f0e8,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons,Animalia,Chordata,,Perciformes,Trichiuridae,Lepidopus,"Lepidopus altifrons Parin & Collette, 1993",gbif:5210265,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,8,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_ef013f220fad2df535a552bafc0af679,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis,Animalia,Chordata,,Perciformes,Scombridae,Auxis,"Auxis Cuvier, 1829",gbif:2374231,genus,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,4537,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_183bc18f3e5eac45c6dd248fb86d64bf,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus laevigatus,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Lagocephalus,"Lagocephalus laevigatus (Linnaeus, 1766)",gbif:2407750,species,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,8,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_1cafd52d7b4ed7a4f80f2449577f47f4,GU190707-CTD13-310_MiFish_S31,MaterialSample,Bacteria,Bacteria,,,,,,Bacteria,gbif:3,kingdom,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,4,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_221cebf8d14311e38ea450f11c20a829,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Animalia,Chordata,,Myctophiformes,Myctophidae,Diaphus,"Diaphus dumerilii (Bleeker, 1856)",gbif:2406248,species,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,81360,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_27ce4ef8aab0e2029cd272404006e061,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Animalia,Chordata,,Perciformes,Scombridae,Auxis,"Auxis rochei (Risso, 1810)",gbif:4286088,species,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,270,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_3b6cd5378a0dcaefbbdf70f0408619c5,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Animalia,Chordata,,Perciformes,Scombridae,Auxis,"Auxis rochei (Risso, 1810)",gbif:4286088,species,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,22272,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_475e0e642a0343085715a6c07ff5824e,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Bramidae;Brama,Animalia,Chordata,,Perciformes,Bramidae,Brama,"Brama Bloch & Schneider, 1801",gbif:5208069,genus,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,25,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_4b901b8f53750cf25d659e5832ac6da2,GU190707-CTD13-310_MiFish_S31,MaterialSample,Bacteria,Bacteria,,,,,,Bacteria,gbif:3,kingdom,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,92,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_534e20c917378ae809aeb4dcf84ba834,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Animalia,Chordata,,Myctophiformes,Myctophidae,Diaphus,"Diaphus dumerilii (Bleeker, 1856)",gbif:2406248,species,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,6735,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_62131db008a1791277e2808215ecafee,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis,Animalia,Chordata,,Perciformes,Scombridae,Auxis,"Auxis Cuvier, 1829",gbif:2374231,genus,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,12,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_7f33c23b1e34240e66bf346182bee281,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Animalia,Chordata,,Perciformes,Scombridae,Auxis,"Auxis rochei (Risso, 1810)",gbif:4286088,species,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,306,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_82b9e863319e3aaee8e524e807f0e38a,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Bramidae;Brama,Animalia,Chordata,,Perciformes,Bramidae,Brama,"Brama Bloch & Schneider, 1801",gbif:5208069,genus,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,72,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_87fc62ed809caa00b26b8cbf9255c7ac,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Animalia,Chordata,,Perciformes,Caproidae,Antigonia,"Antigonia capros Lowe, 1843",gbif:2389693,species,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,5,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190707-CTD13-310_MiFish_S31_occ_8f9c2606f5bb5a4867a22ec20c3f7067,GU190707-CTD13-310_MiFish_S31,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus,Animalia,Chordata,,Perciformes,Trichiuridae,Benthodesmus,"Benthodesmus Goode & Bean, 1882",gbif:2389329,genus,GU190707-CTD13-310,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,14814,DNA sequence reads,145388,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190707-CTD13-310,2019-07-07,310,310,USA: Gulf of Mexico,-85.94,28.501,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428826 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247862 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
